Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10
Your favourite food?,Your first car?,How do you like your eggs?,Favourite variety of apple?,Highest pinball score?,What is your favourite animal?,Favourite variety of nut?,What is your favourite colour?,Best karoake song?,Favourite flower?
What is your zodiac sign?,What is your earliest memory?,Most hated animal?,What is your dream trip?,Most expensive purchase?,Worst date you've been on?,What is your most hated song?,Favourite colour of bed linen?,What shoe size do you wear?,Favourite season?
